monthly_rent,security_deposit,security_deposit_multiplier,available_collateral,loan_amount,interest_rate,duration,default_probability,outcome,payments_made,lender_profit,borrower_cost,capital_efficiency,protection_ratio
2.1854305348131313,12.574030910372722,5.75357153204958,8.203169840746458,5.243436344395153,16.973169683940732,7,0.07241658539950276,COMPLETED,7,0.8899773480036082,6.133413692398761,0.6523898262393645,2.0000000000000004
0.9498871211810129,3.131060160656151,3.2962444598293357,1.231285918294125,0.49279161188420556,7.857336358438816,3,0.012881829201412343,COMPLETED,3,0.03872029449191433,0.5315119063761199,0.3932488853986422,2.0
4.864594334728975,25.112073106851767,5.162213204002109,15.382884437393818,5.036409688140503,8.636499344142013,5,0.0964474113478803,COMPLETED,5,0.4349694896845593,5.471379177825062,0.6125692758196309,2.0
0.6037809126863709,2.188025529313823,3.6238733012919457,0.9804637039410813,0.4313222424218679,5.933313264272309,12,0.06129065806111683,COMPLETED,12,0.025591699821373437,0.45691394224324133,0.4481043254776648,2.0
2.552314928976662,12.57239656966162,4.925879806965068,7.467766711708297,2.3882236765035154,15.284688768272233,9,0.01650305778079968,COMPLETED,9,0.36503255604375084,2.7532562325472663,0.5939811610563354,2.0
0.7927321684337578,4.553792616145089,5.7444276862666666,2.9683282792775736,2.313453378546422,21.16794696232922,9,0.012235275310829987,COMPLETED,9,0.48971058416892,2.803163962715342,0.6518365084860507,2.0
1.5390222152996704,3.39373994863461,2.2051273301300585,0.3156955180352692,0.19256104192517623,17.199933155652417,8,0.014814392956130575,COMPLETED,8,0.03312037049495814,0.22568141242013437,0.09302289592409156,2.0
4.59194180935452,10.533454894020075,2.2938999080000846,1.3495712753110354,0.8063868815927574,11.23422152178822,6,0.03911183280154643,COMPLETED,6,0.09059128860077037,0.8969781701935278,0.1281223766455959,2.0
4.290281485677493,13.93814064319365,3.248770666848828,5.357577671838664,2.341744383222793,23.533177315875882,8,0.0898621564167559,COMPLETED,8,0.5510868579883836,2.8928312412111765,0.3843825233930973,2.0
2.8437541701162066,16.510438932328693,5.805860121746745,10.82293059209628,7.648784854571003,19.946402202747617,5,0.09214516319293874,DEFAULT,2,3.669776898114632,11.318561752685635,0.655520464141275,1.9999999999999998
4.843648882688621,19.54495266049531,4.035171238433423,9.857654895118067,3.6039537916514774,10.925470114081648,1,0.012189096943767151,COMPLETED,1,0.3937488944321945,3.997702686083672,0.5043580849925811,2.0
2.4053066631786635,7.154362397347685,2.9744075908778487,2.3437490709903583,0.8814673963033065,5.281596454301689,3,0.10896002813866638,COMPLETED,3,0.046555550748980656,0.9280229470522872,0.3275971974608456,2.0
3.780532256184443,18.35959437560832,4.856351733429729,10.798529863239434,2.63945000242613,12.169314570885453,9,0.1380943545761293,COMPLETED,9,0.3212029737364799,2.96065297616261,0.5881682156107896,2.0000000000000004
4.325173600054097,14.044934551599466,3.247253370691017,5.394587351491273,1.3877363948723438,12.416365043965328,8,0.10322912992644952,COMPLETED,8,0.17230641663531432,1.5600428115076581,0.38409487290041705,2.0
3.160840044684772,7.502598266837748,2.373608964950321,1.1809181774682038,0.6338531736344878,12.658537495075796,3,0.11650990680636562,COMPLETED,3,0.08023654164824956,0.7140897152827373,0.1574012276104377,2.0
3.025747389062733,14.68950704806559,4.854835899772805,8.638012269940123,4.28684990613083,15.454656587639882,10,0.013558677744173325,COMPLETED,10,0.6625179314200826,4.949367837550913,0.5880396286734233,2.0
3.3638468506870116,8.651073735378148,2.5717799053816335,1.9233800340041247,0.9715808347603454,23.15132947852186,7,0.0946184330988944,COMPLETED,7,0.2249338802055405,1.196514714965886,0.22232847538202744,2.0
2.929284910857529,5.9034058188365774,2.015306123673847,0.04483599712151953,0.03433146740963514,16.97730932977072,3,0.03257098021556062,COMPLETED,3,0.005828559419583178,0.04016002682921832,0.007594937312027052,2.0
4.683639435541579,23.60836182750524,5.040601897822085,14.241082956422083,8.260429856109008,22.429211803754356,12,0.0405816612103567,COMPLETED,12,1.8527493083272493,10.113179164436257,0.6032219880597695,2.0
2.374294765416648,12.860133241151301,5.416401294594341,8.111543710318005,3.200872031128576,7.441759094013467,9,0.05452048649606094,COMPLETED,9,0.23820118546424407,3.43907321659282,0.6307511406150734,2.0
0.9952336603745454,2.1294773910979634,2.1396758127097084,0.13901007034887258,0.06342538431586689,21.36029531844986,9,0.05266937614212406,COMPLETED,9,0.013547849396730954,0.07697323371259784,0.0652789604294407,2.0
1.2409513391432379,4.554846240124183,3.6704470968772096,2.0729435618377074,1.0176038129962803,18.84872065780541,10,0.05726612399650791,COMPLETED,10,0.19180530011484542,1.2094091131111258,0.4551072533638788,2.0
4.743093667606336,12.408002568703562,2.616014660103776,2.9218152334908893,1.493849251659364,19.060379177903556,1,0.019084914595257418,COMPLETED,1,0.28473333171254955,1.7785825833719136,0.2354782905074924,2.0
1.6426193627045511,3.67023636773931,2.234380314193006,0.38499764233020795,0.23784483049870264,19.24541179848884,5,0.04987766921284546,COMPLETED,5,0.04577421707089313,0.2836190475695958,0.1048972337896995,2.0
0.6659912630953976,2.695813866721279,4.047821669899484,1.3638313405304838,0.6841079117701604,6.029575024999787,5,0.058309974723735614,COMPLETED,5,0.04124879979214113,0.7253567115623015,0.5059070870457433,2.0
3.354581051156137,14.771989097177649,4.403527257773834,8.062826994865375,4.18106561349928,13.955663291461832,6,0.043887738011610056,COMPLETED,6,0.583495439015052,4.764561052514332,0.5458186397122285,1.9999999999999998
