agent_id,risk_type,risk_exposure,risk_factor,step,agent_type
Lender_0,default_risk,0.0,0.0,3,Lender
Lender_0,default_risk,0.0,0.0,3,Lender
Lender_0,default_risk,0.0,0.0,3,Lender
Lender_0,default_risk,0.0,0.0,3,Lender
Lender_0,default_risk,0.0,0.0,3,Lender
Lender_0,default_risk,0.0,0.0,3,Lender
Landlord_8,property_damage,0.0,0.0,4,Landlord
Landlord_3,property_damage,2.23235229154987,0.3333333333333333,4,Landlord
Landlord_6,property_damage,0.0,0.0,4,Landlord
Landlord_2,property_damage,0.0,0.0,4,Landlord
Landlord_7,property_damage,0.0,0.0,4,Landlord
Landlord_4,property_damage,0.0,0.0,4,Landlord
Landlord_4,property_damage,0.0,0.0,4,Landlord
Landlord_9,property_damage,0.0,0.0,4,Landlord
Landlord_1,property_damage,1.6973169683940732,0.33333333333333326,4,Landlord
Landlord_3,property_damage,2.23235229154987,0.3333333333333333,4,Landlord
Landlord_7,property_damage,0.0,0.0,4,Landlord
Landlord_2,property_damage,0.0,0.0,4,Landlord
Landlord_8,property_damage,0.0,0.0,4,Landlord
Landlord_3,property_damage,2.23235229154987,0.3333333333333333,4,Landlord
Landlord_2,property_damage,0.0,0.0,4,Landlord
Landlord_1,property_damage,0.0,0.0,4,Landlord
Landlord_8,property_damage,1.549512863264476,0.3333333333333333,4,Landlord
Landlord_9,property_damage,0.0,0.0,4,Landlord
Landlord_4,property_damage,0.0,0.0,4,Landlord
Landlord_9,property_damage,0.0,0.0,4,Landlord
Landlord_6,property_damage,0.0,0.0,4,Landlord
Landlord_4,property_damage,0.0,0.0,4,Landlord
Landlord_1,property_damage,0.0,0.0,4,Landlord
Landlord_6,property_damage,0.9246782213565523,0.33333333333333326,4,Landlord
Landlord_4,property_damage,0.0,0.0,4,Landlord
Renter_33,deposit_loss,4.648538589793428,0.16952219374583,4,Renter
Renter_1,deposit_loss,4.46470458309974,0.2941352368961155,4,Renter
Renter_35,deposit_loss,2.7740346640696574,0.22137069258945938,4,Renter
Renter_14,deposit_loss,2.435967122017216,0.1213008529286306,4,Renter
Renter_4,deposit_loss,2.600427059120603,0.08913151719876805,4,Renter
Renter_7,deposit_loss,5.748435466776273,0.2066021990293024,4,Renter
Renter_12,deposit_loss,5.748435466776273,0.2919372338892457,4,Renter
Renter_16,deposit_loss,3.2473748411882513,0.10939341426096025,4,Renter
Renter_38,deposit_loss,3.3946339367881473,0.15008242019962603,4,Renter
Renter_11,deposit_loss,4.46470458309974,0.21940012062508116,4,Renter
